PROJECT_ID,SAMPLE_ID,env_feature_input_by_investigator,env_material,env_material_input_by_investigator,FLAT_VAR_KEY,FLAT_VAR_VALUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,pH,7.45
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,temperature,null
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,pH_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,temperature_input_by_investigator,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,env_biome,marine biome
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,env_biome_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,env_feature,borehole
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,TRUE,sediment,TRUE,env_feature_input_by_investi,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,latitude,56.620161
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,longitude,11.670677
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,blank_or_control,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,enrichment,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,include,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,pH,7.89
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,temperature,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,pH_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,temperature_input_by_investigator,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,env_biome,marine biome
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,env_biome_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,env_feature,borehole
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,TRUE,sediment,TRUE,env_feature_input_by_investi,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,latitude,56.620161
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,longitude,11.670677
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,blank_or_control,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,enrichment,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,include,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,pH,8.01
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,temperature,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,pH_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,temperature_input_by_investigator,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,env_biome,marine biome
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,env_biome_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,env_feature,borehole
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,TRUE,sediment,TRUE,env_feature_input_by_investi,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,latitude,58.622326
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,longitude,18.254166
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,blank_or_control,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,enrichment,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,include,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,pH,7.7
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,temperature,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,pH_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,temperature_input_by_investigator,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,env_biome,marine biome
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,env_biome_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,env_feature,borehole
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,TRUE,sediment,TRUE,env_feature_input_by_investi,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,latitude,58.622326
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,longitude,18.254166
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,blank_or_control,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,enrichment,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,include,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,pH,8.02
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,temperature,null
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,pH_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,temperature_input_by_investigator,FALSE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,env_biome,marine biome
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,env_biome_input_by_investigator,TRUE
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,env_feature,borehole
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,TRUE,sediment,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,latitude_longitude_input_by_investigator,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,pH,null
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,temperature,null
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,pH_input_by_investigator,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,temperature_input_by_investigator,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,env_biome_input_by_investigator,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,water,FALSE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR44_775m,FALSE,water,FALSE,latitude,61.24
