PROJECT_ID,SAMPLE_ID,blank_or_control,enrichment,include
DCO_BRZ,DCO_BRZ_Bv4v5--N08C_A_Dec13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--N1A_Aug12,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--N5A_Aug12,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8A_Apr11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8A_Aug11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8B_AprC11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_8B_AprD11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW_Aug11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_1A_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_2A_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_3B_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_4A_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW1_5A_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSW11ABCD_Jun12_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWold_11_11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWold2_Jul11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWold3_Jul11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWoldA_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWoldB_Mar13,FALSE,FALSE,TRUE
