PROJECT_ID,SAMPLE_ID,latitude,longitude,latitude_longitude_input_by_investigator,blank_or_control,enrichment,include,pH,temperature,pH_input_by_investigator,temperature_input_by_investigator,env_biome,env_biome_input_by_investigator,env_feature,env_feature_input_by_investigator,env_material,env_material_input_by_investigator
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_1_4,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,6.94,19,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_1,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,7.51,27,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_2,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,6.64,33,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRA,DCO_BRA_Bv6--IODP_331_Site_C14D_2_3,27.79026,126.900677,TRUE,FALSE,FALSE,TRUE,7.01,38,TRUE,TRUE,marine biome,TRUE,hydrothermal vent,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Av6v4--Site17A_447mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.2,14.4,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Av6v4--Site17A_456mbsf_Av6v,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.2,14.6,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_178mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.8,9,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_21mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.7,5.9,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_226mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.4,10,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_264mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.7,10.8,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_322mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.7,11.9,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_322mbsf_MDA,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.7,11.9,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_40mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.8,6.3,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_419mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.2,13.9,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_447mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.2,14.4,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_456mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.2,14.6,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_554mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.3,16.6,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_588mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,6.4,17.3,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_589mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.3,17.3,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRG,DCO_BRG_Bv6v4--Site17A_684mbsf,11.2811,93.1,TRUE,FALSE,FALSE,TRUE,7.1,19.2,TRUE,TRUE,marine biome,TRUE,borehole,TRUE,sediment,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1A_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1A_Jul14,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1B_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1B_Jul14,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1C_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1C_Jul14,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3A_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3A_Jul14,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3B_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3B_Jul14,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3C_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1A_Aug13,null,null,FALSE,FALSE,FALSE,TRUE,null,null,FALSE,FALSE,null,FALSE,null,FALSE,null,FALSE
