PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,geohydroconnectivity,latitude,longitude,ph,temperature
DCO_BRG,DCO_BRG_Bv6v4--Site17A_588mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,6.4,17.3
DCO_BRG,DCO_BRG_Bv6v4--Site17A_589mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.3,17.3
DCO_BRG,DCO_BRG_Bv6v4--Site17A_684mbsf,FALSE,v6v4,Bacteria,FALSE,"marine biome",borehole,sediment,low,11.2811,93.1,7.1,19.2
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSW1_1A_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.17,14.85
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSW1_2A_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,8.68,14.8
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSW1_3B_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,10.08,15.19
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSW1_4A_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,7.77,14.23
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSW1_5A_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,9.34,15.24
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSWoldA_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.86193,-122.414,9.84,17.74
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSWoldB_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.86193,-122.414,9.84,17.74
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_CSWoldT0_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.86193,-122.414,9.84,17.74
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_N08AB_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43,10.73,14.57
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_N08BA_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.86201,-122.43,10.87,14.65
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_N08BB_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.86201,-122.43,10.87,14.65
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_N08CA_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.86202,-122.43,7.41,14.56
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_N08T0_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43,10.87,14.65
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_QV1_1A_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.41,15.36
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_QV1_2B_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,7.02,15.8
DCO_BRZ,DCO_BRZ_Av4v5--Serp_CRO_QV1_3B_Mar13,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,9.43,16
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC1408,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123203,-42.118972,10.67,88
