PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,latitude,longitude
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08BB_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08CA_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86202,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08T0_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV13A_Aug12_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43006
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV1_1A_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43006
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV1_2B_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43006
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV1_3B_Mar13,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.43006
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_Well8B_Apr11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.86201,-122.43
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_tank1_Aug11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_tank3_Aug11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","bore hole water",38.862,-122.414
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC1408,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123203,42.118972
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC3862_1325,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123203,42.118972
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB02_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123961,42.119688
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB03_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124358,42.119149
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB10,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123357,42.1206
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB10_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123357,42.1206
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB12,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123871,42.120517
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB13,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123934,42.120154
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB14,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124259,42.118724
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB15,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124286,42.119138
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB16,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124286,42.119138
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB17,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124178,42.119698
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB18_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124178,42.119698
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB20,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123934,42.120154
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB21,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123934,42.120154
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB22,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123934,42.120154
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB25,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123934,42.120154
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB27_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123934,42.120154
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB28_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123826,42.120621
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB31,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.12397,42.120113
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB32,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123492,42.118506
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB33,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123492,42.120538
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB35,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124755,42.119024
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB36,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123961,42.119688
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB37,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124782,42.11863
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB4,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124069,42.120019
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB40,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.12406,42.119107
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB41,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123492,42.118506
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB43,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123492,42.118506
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB46,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123492,42.118506
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB49,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123465,42.120082
